client,usable_rows,class_0,class_1,class_2,target_rate
158324,31782,2908,17720,11154,1.2594550374425775
158386,27759,1738,15304,10717,1.3234626607586728
158536,31737,2099,26236,3402,1.0410561804833476
158655,28202,84,6475,21643,1.7644493298347634
178548,31680,9031,9565,13084,1.127935606060606
178821,28655,3187,735,24733,1.7519106613156517
178929,31668,11313,9469,10886,0.9865163572060124
179038,26685,3630,1398,21657,1.6755480607082631
179148,27404,1443,6680,19281,1.6509268719894905
179202,31709,8459,4983,18267,1.3093128133968275
180601,26942,10010,7528,9404,0.9775072377700245
180872,31547,10806,9759,10982,1.0055789773988018
