client,rows,columns,duplicates,missing_values,start,end
158324,32075,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
158386,28727,9,2,0,2014-02-13T11:30:00,2014-06-09T05:35:00
158536,32030,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
158655,29178,9,3,0,2014-02-13T11:30:00,2014-06-09T05:35:00
178548,31977,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
178821,29604,9,5,0,2014-02-13T11:30:00,2014-06-09T05:35:00
178929,31967,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
179038,27501,9,0,0,2014-02-13T11:30:00,2014-06-09T05:35:00
179148,28356,9,2,0,2014-02-13T11:30:00,2014-06-09T05:35:00
179202,32009,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
180601,27750,9,1,0,2014-02-13T11:30:00,2014-06-09T05:35:00
180872,31864,9,16,0,2014-02-13T11:30:00,2014-06-09T05:35:00
